SEMEL_YISHUV,CITY_NAME,ROVA,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
8300,"RISHON LEZIYYON",1,21134,48.521,2.837,26.578,0.0,8.312,0.353,2.72,0.176,0.925,0.453,8.591,0.134,0.399
8300,"RISHON LEZIYYON",2,19729,60.374,3.894,17.967,0.0,5.97,1.596,0.9,0.591,1.154,0.118,6.846,0.388,0.206
8300,"RISHON LEZIYYON",3,9729,49.518,3.368,27.02,0.0,5.595,0.195,1.138,0.203,1.275,0.56,10.432,0.174,0.522
8300,"RISHON LEZIYYON",4,17111,57.948,3.916,20.098,0.0,5.347,0.817,0.775,0.168,1.123,0.428,9.153,0.228,0.0
8300,"RISHON LEZIYYON",5,24736,64.199,3.586,19.688,0.0,3.823,0.149,0.223,0.52,1.9,0.443,5.256,0.161,0.053
8300,"RISHON LEZIYYON",6,13651,72.833,3.9,14.281,0.0,2.717,0.136,0.402,0.474,1.988,0.143,2.7,0.155,0.271
8400,"REHOVOT",1,12694,50.294,3.746,12.519,0.0,7.419,2.555,2.802,0.496,0.719,1.541,17.909,0.0,0.0
8400,"REHOVOT",2,10851,54.738,4.554,20.388,0.0,8.53,1.317,1.002,0.058,0.309,0.66,7.75,0.096,0.599
8400,"REHOVOT",3,7614,53.02,3.984,22.402,0.0,9.412,0.91,1.819,0.319,1.181,0.821,5.787,0.15,0.195
8400,"REHOVOT",4,16385,51.455,3.03,18.233,0.0,7.226,1.665,0.811,0.303,1.15,1.2,14.098,0.178,0.651
8600,"RAMAT GAN",1,28638,47.072,2.29,26.963,0.0,2.01,0.887,1.071,0.64,5.373,1.26,12.138,0.073,0.224
8600,"RAMAT GAN",2,19045,57.185,3.011,21.97,0.0,2.509,0.221,0.0,0.596,6.591,0.648,7.129,0.0,0.142
8600,"RAMAT GAN",3,13789,59.983,2.255,22.515,0.0,1.706,0.0,0.0,0.142,4.803,1.296,7.094,0.0,0.205
8600,"RAMAT GAN",4,7061,64.417,2.124,18.018,0.0,2.35,0.104,0.447,0.316,3.914,0.648,7.66,0.0,0.0
9000,"BE'ER SHEVA",1,6452,18.113,8.73,37.269,0.0,16.407,0.216,0.0,0.506,0.326,1.286,16.798,0.095,0.255
9000,"BE'ER SHEVA",2,16008,30.967,4.198,29.957,0.0,26.389,0.55,0.095,0.779,0.291,0.524,5.879,0.085,0.287
9000,"BE'ER SHEVA",3,6494,41.903,6.402,21.846,0.0,23.401,0.237,0.36,1.399,0.292,0.277,3.675,0.0,0.208
9000,"BE'ER SHEVA",4,21760,45.59,6.304,18.95,0.0,21.325,0.423,0.479,1.22,0.486,0.265,4.853,0.028,0.077
9000,"BE'ER SHEVA",5,6964,31.659,8.323,24.556,0.0,17.469,0.103,0.5,0.771,0.526,0.398,15.695,0.0,0.0
9000,"BE'ER SHEVA",6,21802,47.983,6.131,15.572,0.0,18.366,0.616,0.135,1.263,0.497,0.5,8.611,0.033,0.295
