SEMEL_YISHUV,CITY_NAME,ROVA,TAT_ROVA,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
3000,"JERUSALEM",11,113,3538,53.541,1.854,32.327,1.405,2.079,0.364,0.0,0.34,1.246,0.59,5.953,0.108,0.192
3000,"JERUSALEM",11,114,5294,52.787,2.476,32.915,2.371,1.91,0.183,0.134,0.0,1.023,0.904,4.759,0.272,0.267
3000,"JERUSALEM",11,115,3379,76.89,3.152,12.274,0.658,0.776,0.851,0.105,0.0,0.958,0.885,3.079,0.0,0.374
3000,"JERUSALEM",12,121,7861,52.697,2.522,30.383,0.078,1.245,0.267,0.13,0.187,0.956,2.172,8.367,0.177,0.818
3000,"JERUSALEM",12,122,5347,55.755,1.944,27.752,0.45,1.237,0.914,0.237,0.699,1.048,1.711,7.696,0.0,0.558
3000,"JERUSALEM",13,131,5419,54.175,2.592,23.576,0.208,1.26,0.728,0.0,0.396,1.5,2.669,12.011,0.0,0.884
3000,"JERUSALEM",13,132,1522,41.535,2.176,31.913,0.0,0.678,1.571,0.0,0.211,2.123,1.925,17.663,0.0,0.205
3000,"JERUSALEM",13,133,5397,53.285,1.701,24.339,0.103,1.76,1.179,0.39,0.129,0.922,2.935,12.511,0.226,0.519
3000,"JERUSALEM",14,141,933,28.624,2.651,24.222,9.241,1.836,0.451,0.0,0.0,0.425,1.549,31.001,0.0,0.0
3000,"JERUSALEM",14,142,3441,26.03,1.912,34.507,6.863,0.713,1.487,0.229,0.315,0.573,1.9,24.587,0.0,0.885
3000,"JERUSALEM",14,143,4489,27.244,1.925,32.739,5.116,2.217,1.909,0.0,0.497,1.848,2.348,23.587,0.187,0.384
3000,"JERUSALEM",14,144,3214,40.941,0.852,29.01,0.858,1.169,0.798,0.269,0.088,0.652,2.863,22.138,0.0,0.363
3000,"JERUSALEM",15,151,4133,29.282,1.572,42.782,1.843,1.105,1.067,0.068,0.422,1.533,1.665,18.029,0.051,0.581
3000,"JERUSALEM",15,152,4490,37.336,2.811,43.598,0.326,0.555,0.281,0.331,0.627,0.537,1.435,12.092,0.072,0.0
3000,"JERUSALEM",16,161,9781,68.588,2.234,20.762,0.045,1.959,0.288,0.142,0.167,1.489,0.387,3.572,0.063,0.305
3000,"JERUSALEM",17,171,5219,34.81,2.318,34.264,7.307,1.703,0.763,0.212,0.363,0.531,0.263,16.986,0.056,0.423
3000,"JERUSALEM",17,172,4171,71.62,3.413,15.637,1.944,1.493,1.129,0.315,0.718,1.103,0.283,2.294,0.0,0.05
3000,"JERUSALEM",18,181,6577,56.928,2.774,23.313,0.208,1.595,0.879,0.044,0.093,1.002,2.524,9.945,0.023,0.672
3000,"JERUSALEM",18,182,5442,59.816,3.361,26.933,0.052,1.311,0.14,0.085,0.188,1.717,1.363,4.088,0.204,0.741
3000,"JERUSALEM",19,191,7585,61.016,3.31,26.913,0.211,2.914,0.204,0.0,0.3,1.069,0.322,2.893,0.214,0.634
3000,"JERUSALEM",19,192,5312,64.849,2.655,23.81,0.109,2.217,0.567,0.327,0.659,0.898,0.477,2.634,0.322,0.476
